"","genus","family","order","class"
"112","Sphaenorhynchus","Hylidae","Anura","Amphibia"
"113","Dendropsophus","Hylidae","Anura","Amphibia"
"114","Xenohyla","Hylidae","Anura","Amphibia"
"115","Pseudis","Hylidae","Anura","Amphibia"
"116","Lysapsus","Hylidae","Anura","Amphibia"
"117","Scarthyla","Hylidae","Anura","Amphibia"
"118","Myersiohyla","Hylidae","Anura","Amphibia"
"119","Hypsiboas","Hylidae","Anura","Amphibia"
"120","Aplastodiscus","Hylidae","Anura","Amphibia"
"121","Bokermannohyla","Hylidae","Anura","Amphibia"
"122","Hyloscirtus","Hylidae","Anura","Amphibia"
"123","Litoria","Hylidae","Anura","Amphibia"
"124","Cyclorana","Hylidae","Anura","Amphibia"
"125","Nyctimystes","Hylidae","Anura","Amphibia"
"126","Phyllomedusa","Hylidae","Anura","Amphibia"
"127","Phasmahyla","Hylidae","Anura","Amphibia"
"128","Agalychnis","Hylidae","Anura","Amphibia"
"129","Pachymedusa","Hylidae","Anura","Amphibia"
"130","Hylomantis","Hylodidae","Anura","Amphibia"
"131","Phrynomedusa","Hylodidae","Anura","Amphibia"
"132","Cruziohyla","Hylodidae","Anura","Amphibia"
"133","Hylodes","Alsodidae","Anura","Amphibia"
"134","Megaelosia","Alsodidae","Anura","Amphibia"
"135","Crossodactylus","Cycloramphidae","Anura","Amphibia"
"136","Alsodes","Batrachylidae","Anura","Amphibia"
"137","Eupsophus","Batrachylidae","Anura","Amphibia"
"138","Limnomedusa","Batrachylidae","Anura","Amphibia"
"139","Atelognathus","Alsodidae","Anura","Amphibia"
"140","Batrachyla","Cycloramphidae","Anura","Amphibia"
"141","Chaltenobatrachus","Cycloramphidae","Anura","Amphibia"
"142","Hylorina","Cycloramphidae","Anura","Amphibia"
"143","Zachaenus","Ceratophryidae","Anura","Amphibia"
"144","Cycloramphus","Ceratophryidae","Anura","Amphibia"
"145","Thoropa","Rhinodermatidae","Anura","Amphibia"
"146","Telmatobius","Rhinodermatidae","Anura","Amphibia"
"147","Batrachophrynus","Ceratophryidae","Anura","Amphibia"
"148","Rhinoderma","Ceratophryidae","Anura","Amphibia"
"149","Insuetophrynus","Ceratophryidae","Anura","Amphibia"
"150","Ceratophrys","Strabomantidae","Anura","Amphibia"
"151","Lepidobatrachus","Strabomantidae","Anura","Amphibia"
"152","Chacophrys","Strabomantidae","Anura","Amphibia"
"153","Pristimantis","Strabomantidae","Anura","Amphibia"
"154","Oreobates","Strabomantidae","Anura","Amphibia"
"155","Lynchius","Strabomantidae","Anura","Amphibia"
"156","Atopophrynus","Strabomantidae","Anura","Amphibia"
"157","Phrynopus","Strabomantidae","Anura","Amphibia"
"158","Hypodactylus","Strabomantidae","Anura","Amphibia"
"159","Psychrophrynella","Strabomantidae","Anura","Amphibia"
"160","Noblella","Strabomantidae","Anura","Amphibia"
"161","Euparkerella","Strabomantidae","Anura","Amphibia"
