"genus","family","order","class","phylum"
"Halleria","Stilbaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Charadrophila","Stilbaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Craterostigma","Linderniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Picria","Linderniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Torenia","Linderniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Stemodiopsis","Linderniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cubitanthus","Linderniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Byblis","Byblidaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Dermatobotrys","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Selago","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Microdon","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Agathelpis","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cromidon","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Walafrida","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Melanospermum","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Tetraselago","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Glumicalyx","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Polycarena","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Phyllopodium","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Pseudoselago","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chenopodiopsis","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Zaluzianskya","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Reyemia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Hebenstretia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Dischisma","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Trieenea","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Glekia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Manulea","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Sutera","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chaenostoma","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Manuleopsis","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Barthlottia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Limosella","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Jamesbrittenia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Scrophularia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Scrophucephalus","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Oreosolen","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Verbascum","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Antherothamnus","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Buddleja","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Emorya","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gomphostigma","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Teedia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Oftia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Freylinia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Camptoloma","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Phygelius","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Nemesia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Diascia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Diclis","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Hemimeris","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Alonsoa","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Colpias","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Leucophyllum","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Capraria","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Eremogeton","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Myoporum","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Bontia","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Peliostomum","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Aptosimum","Scrophulariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Veronica","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Parahebe","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Heliohebe","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Leonohebe","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cochlidiosperma","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Odicardis","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Synthyris","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Pseudolysimachion","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Picrorhiza","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Wulfeniopsis","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Lagotis","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Neopicrorhiza","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Veronicastrum","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Scrofella","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Wulfenia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Plantago","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Bougueria","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Littorella","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Aragoa","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Digitalis","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Isoplexis","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Erinus","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Globularia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Poskea","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Campylanthus","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Ellisiophyllum","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Sibthorpia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Hippuris","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Linaria","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Antirrhinum","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Mohavea","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Misopates","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chaenorhinum","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Mabrya","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Maurandya","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Galvezia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Asarina","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cymbalaria","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Kickxia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Lafuentea","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Penstemon","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chelone","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Nothochelone","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chionophila","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Keckiella","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Collinsia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Pennellianthus","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Russelia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Tetranema","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gratiola","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Hydrotriche","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Dopatrium","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Limnophila","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Stemodia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Leucospora","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Scoparia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Philcoxia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Bacopa","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Micranthemum","Linderniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Bryodes","Linderniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Basistemon","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Angelonia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Monttea","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Melosperma","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Ourisia","Plantaginaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Primulina","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Petrocodon","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Calcareoboea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Didymocarpus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Ridleyandra","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Petrocosmea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chayamaritia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Henckelia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Raphiocarpus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Pseudochirita","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Loxostigma","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Briggsia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Allostigma","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Briggsiopsis","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Hemiboea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Lysionotus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Anna","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Hexatheca","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Aeschynanthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Agalmyla","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Metapetrocosmea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cyrtandra","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Liebigia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gyrocheilos","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Allocheilos","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cathayanthe","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Didymostigma","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Conandron","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Ancylostemon","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Oreocharis","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Bournea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Opithandra","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Deinocheilos","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Thamnocharis","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Dayaoshania","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Codonoboea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Microchirita","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Streptocarpus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Colpogyne","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Hovanella","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Paraboea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Boea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Spelaeanthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Loxocarpus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Emarhendia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Orchadocarpa","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Ornithoboea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Kaisupeea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Rhabdothamnopsis","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Damrongia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Somrania","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Didissandra","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Tribounia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Rhynchotechum","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Platystemma","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Leptoboea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Boeica","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Beccarinda","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Haberlea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Jancaea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Tetraphyllum","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Corallodiscus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Jerdonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Monophyllaea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Whytockia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Loxonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Stauranthera","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Rhynchoglossum","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Epithema","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Nematanthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Codonanthe","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Codonanthopsis","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Lesia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Columnea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Glossoloma","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Drymonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Neomortonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Corytoplectus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Rufodorsia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cobananthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Episcia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Nautilocalyx","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chrysothemis","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Paradrymonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Trichodrymonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Centrosolenia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Lembocarpus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Besleria","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Sinningia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Vanhouttea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Paliavana","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Kohleria","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Diastema","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Pearcea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Amalophyllon","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gloxiniopsis","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Achimenes","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Moussonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Eucodonia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Niphaea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Heppiella","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Smithiantha","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Seemannia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gloxinia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chautemsia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Solenophora","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Phinaea","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Nomopyle","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gloxinella","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Rhytidophyllum","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gesneria","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Pheidonocarpa","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Sphaerorrhiza","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Coronanthera","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Rhabdothamnus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Sarmienta","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Asteranthera","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Mitraria","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Fieldia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Depanthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Negria","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cremosperma","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Reldia","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Gasteranthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Anetanthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Titanotrichum","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Napeanthus","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Sanango","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Calceolaria","Calceolariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Jovellana","Calceolariaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Peltanthera","Gesneriaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Polypremum","Tetrachondraceae","Lamiales","Magnoliopsida","Tracheophyta"
"Tetrachondra","Tetrachondraceae","Lamiales","Magnoliopsida","Tracheophyta"
"Noronhia","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Chionanthus","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Schrebera","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Comoranthus","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Haenianthus","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Olea","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Osmanthus","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Phillyrea","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Picconia","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Notelaea","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Nestegis","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Forestiera","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Fraxinus","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Syringa","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Ligustrum","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Jasminum","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Menodora","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Fontanesia","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Forsythia","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Abeliophyllum","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Nyctanthes","Oleaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Carlemannia","Carlemanniaceae","Lamiales","Magnoliopsida","Tracheophyta"
"Plocosperma","Plocospermataceae","Lamiales","Magnoliopsida","Tracheophyta"
"Cryptantha","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Allocaryastrum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Johnstonella","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Greeneocharis","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Krynitzkia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Plagiobothrys","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Pectocarya","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Amsinckia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Oreocarya","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Harpagonella","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Dasynotus","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Cynoglossum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Paracaryum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Mattiastrum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Rindera","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Pardoglossum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Paracynoglossum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Lindelofia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Solenanthus","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Kuschakewiczia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Trachelanthus","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Lepechiniella","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Cynoglossopsis","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Brandella","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Microparacaryum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Omphalodes","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Bothriospermum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Thyrocarpus","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Microula","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Actinocarya","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Metaeritrichium","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Craniospermum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Myosotis","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Mertensia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Pseudomertensia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Trigonotis","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Brachybotrys","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Hackelia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Embadium","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Austrocynoglossum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Eritrichium","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Amblynotus","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Rochelia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Echinospermum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Lappula","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Heterocaryum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Suchtelenia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Steenhammera","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Anoplocaryum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Asperugo","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Selkirkia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Myosotidium","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Mimophytum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Gyrocaryum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Trichodesma","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Caccinia","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Lasiocaryum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Microcaryum","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Chionocharis","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Onosma","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Cystostemon","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
"Echium","Boraginaceae","Boraginales","Magnoliopsida","Tracheophyta"
