"genus","family","order","class","phylum"
"Wilkesia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Madia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Carlquistia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Anisocarpus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Kyhosia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hemizonella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Holozonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Osmadenia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Harmonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Blepharipappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Arnica","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Venegasia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lasthenia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Amblyopappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Baeriopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Eriophyllum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pseudobahia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Syntrichopappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Constancea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Monolopia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hulsea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Eatonella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Guardiola","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hymenothrix","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Amauriopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Palafoxia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Florestina","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Picradeniopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Bahia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Apostates","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Achyropappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Holoschkuhria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Schkuhria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Psathyrotopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Thymopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Peucephyllum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Bartlettia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chamaechaenactis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chaetymenia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hypericophyllum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Espejoa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Loxothysanus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chaenactis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dimeresia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Orochaenactis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Gaillardia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Balduina","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Helenium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hymenoxys","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Tetraneuris","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Amblyolepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
